path,bce,dice,total
../data/train/8285330656088652394,0.0005,0.0984,0.0988
../data/train/3321456975426401647,0.0041,0.0984,0.1025
../data/train/6473559118584918276,0.0001,0.0985,0.0986
../data/train/1835370550445815924,0.0001,0.0985,0.0986
../data/train/5628846445154361728,0.0002,0.0985,0.0988
../data/train/8468496940273326793,0.0002,0.0985,0.0987
../data/validation/2227191393870283612,0.0005,0.0985,0.099
../data/train/2134339731803568962,0.0,0.0985,0.0985
../data/train/5034295077480112382,0.0019,0.0985,0.1004
../data/train/818592333836887845,0.0006,0.0985,0.0992
../data/train/7511694510744837340,0.0002,0.0985,0.0987
../data/validation/3562125792514048914,0.0002,0.0986,0.0988
../data/train/845292174029346583,0.0008,0.0986,0.0994
../data/train/363027814421482965,0.0001,0.0986,0.0987
../data/train/12856243943391336,0.0023,0.0986,0.1009
../data/train/7211352097238028628,0.0007,0.0986,0.0993
../data/validation/3931313547827714319,0.0006,0.0986,0.0993
../data/train/3659925267047886033,0.0004,0.0987,0.0991
../data/train/929664762844071148,0.0022,0.0987,0.1009
../data/train/5894419764671251994,0.0001,0.0987,0.0988
../data/train/4872267800095843228,0.0002,0.0987,0.0989
../data/train/5013764917217465079,0.0005,0.0987,0.0992
../data/train/7463581782792558426,0.0001,0.0988,0.0989
../data/train/5306006915856499290,0.0008,0.0988,0.0996
../data/train/6076039653894588248,0.0001,0.0988,0.0989
../data/train/7071534655101888039,0.0007,0.0988,0.0996
../data/train/7721421368945700452,0.0001,0.0988,0.0989
../data/train/8438286845763647331,0.0,0.0988,0.0988
../data/train/9121683696665181196,0.0004,0.0988,0.0991
../data/validation/706992543889496814,0.001,0.0988,0.0998
../data/train/5268512737720935075,0.0002,0.0988,0.099
../data/train/6064567039316281729,0.0001,0.0989,0.099
../data/train/6186586744379428099,0.0,0.0989,0.0989
../data/train/193104800146016358,0.0002,0.0989,0.0992
../data/train/7522614206256115828,0.0002,0.0989,0.0991
../data/train/729296624707819152,0.0007,0.0989,0.0996
../data/train/4610860492294413855,0.0002,0.0989,0.0991
../data/train/5342071121899737841,0.0002,0.0989,0.0991
../data/train/864169722288728282,0.0006,0.0989,0.0995
../data/train/5020799800052656848,0.0004,0.0989,0.0994
../data/train/650874282444801959,0.0003,0.0989,0.0992
../data/train/7454134597763201897,0.0004,0.0989,0.0994
../data/train/5661101448251193565,0.0001,0.0989,0.099
../data/train/2361352675855554694,0.0002,0.0989,0.0991
../data/validation/884880028148035615,0.0078,0.099,0.1068
../data/train/6776941746964522738,0.0001,0.099,0.0991
../data/train/2713429638684684442,0.0008,0.099,0.0999
../data/train/1185356420099333444,0.0003,0.099,0.0993
../data/train/2145671903659465963,0.0002,0.099,0.0992
../data/train/4497892884596922473,0.0001,0.099,0.0991
../data/train/3479785503273228376,0.0002,0.099,0.0992
../data/train/8401717915296572895,0.0013,0.099,0.1003
../data/train/1315734485480600130,0.0001,0.099,0.0991
../data/train/8815599855221910458,0.0003,0.099,0.0992
